Segment,Country, Product ,Date,Quantity,Unit Cost,Sale Price,COGS,Discount, Discount Band 
Government,UK,VTT,05/12/2021,570,250,7,2850,199.5, Medium 
Government,France,VTT,13/12/2021,2487,250,7,12435,870.45, Medium 
Government,Germany,Amarilla,03/02/2021,1350,260,350,351000,23625, Medium 
Government,Canada,Amarilla,18/08/2021,552,260,350,143520,9660, Medium 
Small Business,Germany,Amarilla,13/12/2021,1250,260,300,312500,18750, Medium 
Midmarket,France,Paseo,24/04/2021,3801,10,15,38010,3420.9, Medium 
Government,UK,Carretera,25/01/2021,1117.5,3,20,11175,1341, Medium 
Midmarket,Canada,Carretera,27/06/2021,2844,3,15,28440,2559.6, Medium 
Channel Partners,Spain,Carretera,19/09/2021,562,3,12,1686,404.64, Medium 
Midmarket,UK,Carretera,27/11/2021,2030,3,15,20300,1827, Medium 
Government,Spain,Montana,14/04/2021,980,5,350,254800,20580, Medium 
Government,Germany,Montana,06/05/2021,1460,5,350,379600,30660, Medium 
Channel Partners,UK,Montana,02/11/2021,2723,5,12,8169,1960.56, Medium 
Government,France,Paseo,23/06/2021,1496,10,350,388960,31416, Medium 
Enterprise,Canada,Velo,12/02/2021,952,120,125,114240,7140, Medium 
Enterprise,UK,Velo,28/02/2021,2755,120,125,330600,20662.5, Medium 
Midmarket,Germany,Velo,28/05/2021,1530,120,15,15300,1377, Medium 
Government,France,Velo,29/06/2021,1496,120,350,388960,31416, Medium 
Government,Spain,Velo,24/06/2021,1498,120,7,7490,629.16, Medium 
Midmarket,Canada,VTT,15/06/2021,2844,250,15,28440,2559.6, Medium 
Government,Spain,VTT,24/06/2021,1498,250,7,7490,629.16, Medium 
Enterprise,France,Amarilla,12/01/2021,1987.5,260,125,238500,14906.25, Medium 
Government,Spain,Amarilla,29/09/2021,1679,260,350,436540,35259, Medium 
Midmarket,UK,Paseo,18/08/2021,2198,10,15,21980,1978.2, Medium 
Midmarket,Germany,Paseo,24/08/2021,1743,10,15,17430,1568.7, Medium 
Midmarket,UK,Paseo,03/10/2021,1153,10,15,11530,1037.7, Medium 
Government,Germany,Velo,02/08/2021,1001,120,20,10010,1201.2, Medium 
Government,Spain,Velo,25/11/2021,1333,120,7,6665,559.86, Medium 
Midmarket,UK,VTT,12/10/2021,1153,250,15,11530,1037.7, Medium 
Channel Partners,Spain,Carretera,13/02/2021,727,3,12,2181,610.68, Medium 
Channel Partners,Canada,Carretera,07/08/2021,1884,3,12,5652,1582.56, Medium 
Channel Partners,Spain,Montana,23/01/2021,2340,5,12,7020,1965.6, Medium 
Channel Partners,France,Montana,03/11/2021,2342,5,12,7026,1967.28, Medium 
Midmarket,Canada,Velo,29/05/2021,1262,120,15,12620,1325.1, Medium 
Government,Canada,Velo,13/06/2021,1135,120,7,5675,556.15, Medium 
Government,UK,Velo,22/11/2021,547,120,7,2735,268.03, Medium 
Government,Canada,Velo,19/12/2021,1582,120,7,7910,775.18, Medium 
Channel Partners,France,VTT,06/04/2021,1738.5,250,12,5215.5,1460.34, Medium 
Government,Canada,VTT,11/12/2021,1582,250,7,7910,775.18, Medium 
Government,Canada,Amarilla,12/06/2021,1135,260,7,5675,556.15, Medium 
Government,UK,Carretera,13/03/2021,1761,3,350,457860,43144.5, Medium 
Small Business,France,Carretera,24/06/2021,448,3,300,112000,9408, Medium 
Small Business,France,Carretera,01/10/2021,2181,3,300,545250,45801, Medium 
Government,France,Montana,02/10/2021,1976,5,20,19760,2766.4, Medium 
Small Business,France,Montana,16/10/2021,2181,5,300,545250,45801, Medium 
Small Business,Canada,Paseo,27/05/2021,1702,10,300,425500,35742, Medium 
Small Business,France,Paseo,13/06/2021,448,10,300,112000,9408, Medium 
Enterprise,Germany,Paseo,03/07/2021,3513,10,125,421560,30738.75, Medium 
Midmarket,France,Paseo,17/08/2021,2101,10,15,21010,2206.05, Medium 
Government,France,Paseo,11/09/2021,1535,10,20,15350,2149, Medium 
Small Business,France,Velo,30/07/2021,1659,120,300,414750,34839, Medium 
Government,Spain,Velo,05/08/2021,609,120,20,6090,852.6, Medium 
Enterprise,Germany,Velo,18/09/2021,2087,120,125,250440,18261.25, Medium 
Government,France,Velo,25/10/2021,1976,120,20,19760,2766.4, Medium 
Small Business,UK,Velo,27/12/2021,1372,120,300,343000,28812, Medium 
Channel Partners,Canada,VTT,15/01/2021,3244.5,250,12,9733.5,2725.38, Medium 
Small Business,France,VTT,12/02/2021,959,250,300,239750,20139, Medium 
Small Business,Spain,VTT,16/02/2021,2747,250,300,686750,57687, Medium 
Enterprise,Canada,Amarilla,19/05/2021,1645,260,125,197400,14393.75, Medium 
Government,France,Amarilla,28/09/2021,2876,260,350,747760,70462, Medium 
Government,Canada,Amarilla,25/11/2021,1118,260,20,11180,1565.2, Medium 
Small Business,UK,Amarilla,20/12/2021,1372,260,300,343000,28812, Medium 
Government,Canada,Montana,22/02/2021,488,5,7,2440,273.28, Medium 
Government,UK,Montana,02/06/2021,1282,5,20,12820,2051.2, Medium 
Government,Canada,Paseo,30/05/2021,257,10,7,1285,143.92, Medium 
Government,UK,Amarilla,29/06/2021,1282,260,20,12820,2051.2, Medium 
Enterprise,Spain,Carretera,27/08/2021,1540,3,125,184800,15400, Medium 
Midmarket,France,Carretera,08/11/2021,490,3,15,4900,588, Medium 
Government,Spain,Carretera,20/12/2021,1362,3,350,354120,38136, Medium 
Midmarket,France,Montana,03/03/2021,2501,5,15,25010,3001.2, Medium 
Government,Canada,Montana,03/06/2021,708,5,20,7080,1132.8, Medium 
Government,Germany,Montana,03/07/2021,645,5,20,6450,1032, Medium 
Small Business,France,Montana,13/08/2021,1562,5,300,390500,37488, Medium 
Midmarket,Germany,Montana,17/12/2021,711,5,15,7110,853.2, Medium 
Enterprise,Spain,Paseo,03/03/2021,1114,10,125,133680,11140, Medium 
Government,Germany,Paseo,03/04/2021,1259,10,7,6295,705.04, Medium 
Government,Germany,Paseo,04/05/2021,1095,10,7,5475,613.2, Medium 
Government,Germany,Paseo,08/06/2021,1366,10,20,13660,2185.6, Medium 
Small Business,Spain,Paseo,23/06/2021,2460,10,300,615000,59040, Medium 
Government,UK,Paseo,28/08/2021,678,10,7,3390,379.68, Medium 
Government,Germany,Paseo,17/08/2021,1598,10,7,7990,894.88, Medium 
Government,Germany,Paseo,07/09/2021,1934,10,20,19340,3094.4, Medium 
Government,Spain,Paseo,15/09/2021,2993,10,20,29930,4788.8, Medium 
Government,Spain,Paseo,17/12/2021,1362,10,350,354120,38136, Medium 
Channel Partners,Canada,Velo,30/03/2021,598,120,12,1794,574.08, Medium 
Government,UK,Velo,17/06/2021,2907,120,7,14535,1627.92, Medium 
Government,Germany,Velo,12/06/2021,2338,120,7,11690,1309.28, Medium 
Small Business,Spain,Velo,08/12/2021,635,120,300,158750,15240, Medium 
Government,France,VTT,27/04/2021,574.5,250,350,149370,16086, Medium 
Government,Germany,VTT,14/06/2021,2338,250,7,11690,1309.28, Medium 
Government,France,VTT,18/08/2021,381,250,350,99060,10668, Medium 
Government,Germany,VTT,06/08/2021,422,250,350,109720,11816, Medium 
Small Business,Canada,VTT,02/09/2021,2134,250,300,533500,51216, Medium 
Government,Canada,Amarilla,22/06/2021,708,260,20,7080,1132.8, Medium 
Government,UK,Amarilla,19/06/2021,2907,260,7,14535,1627.92, Medium 
Government,Germany,Amarilla,11/06/2021,1366,260,20,13660,2185.6, Medium 
Small Business,Spain,Amarilla,25/06/2021,2460,260,300,615000,59040, Medium 
Government,Germany,Amarilla,02/11/2021,1520,260,20,15200,2432, Medium 
Midmarket,Germany,Amarilla,20/12/2021,711,260,15,7110,853.2, Medium 
Small Business,Spain,Amarilla,25/12/2021,635,260,300,158750,15240, Medium 
Government,UK,VTT,10/07/2021,436.5,250,20,4365,698.4, Medium 
Small Business,Canada,Carretera,04/06/2021,1094,3,300,273500,29538, Medium 
Small Business,Canada,Montana,11/04/2021,3802.5,5,300,950625,102667.5, Medium 
Government,France,Montana,21/05/2021,1666,5,350,433160,52479, Medium 
Channel Partners,Canada,Montana,16/11/2021,2321,5,12,6963,2506.68, Medium 
Enterprise,UK,Montana,15/12/2021,2797,5,125,335640,31466.25, Medium 
Small Business,Spain,Paseo,12/01/2021,2565,10,300,641250,69255, Medium 
Government,Spain,Paseo,10/01/2021,2417,10,350,628420,76135.5, Medium 
Midmarket,UK,Paseo,30/04/2021,3675,10,15,36750,4961.25, Medium 
Small Business,Canada,Paseo,28/06/2021,1094,10,300,273500,29538, Medium 
Midmarket,France,Paseo,03/10/2021,1227,10,15,12270,1656.45, Medium 
Small Business,France,Paseo,14/11/2021,1324,10,300,331000,35748, Medium 
Enterprise,UK,Paseo,19/12/2021,2797,10,125,335640,31466.25, Medium 
Midmarket,Spain,Velo,24/05/2021,245,120,15,2450,330.75, Medium 
Small Business,Canada,Velo,05/07/2021,3793.5,120,300,948375,102424.5, Medium 
Government,Germany,Velo,16/07/2021,1307,120,350,339820,41170.5, Medium 
Enterprise,Canada,Velo,16/09/2021,567,120,125,68040,6378.75, Medium 
Enterprise,Spain,Velo,21/09/2021,2110,120,125,253200,23737.5, Medium 
Government,Canada,Velo,25/10/2021,1269,120,350,329940,39973.5, Medium 
Channel Partners,UK,VTT,17/01/2021,1956,250,12,5868,2112.48, Medium 
Small Business,Germany,VTT,26/02/2021,2659,250,300,664750,71793, Medium 
Government,UK,VTT,13/04/2021,1351.5,250,350,351390,42572.25, Medium 
Channel Partners,Germany,VTT,18/05/2021,880,250,12,2640,950.4, Medium 
Small Business,UK,VTT,29/09/2021,1867,250,300,466750,50409, Medium 
Midmarket,France,VTT,12/10/2021,1227,250,15,12270,1656.45, Medium 
Enterprise,Spain,VTT,27/11/2021,877,250,125,105240,9866.25, Medium 
Government,UK,Amarilla,11/09/2021,2071,260,350,538460,65236.5, Medium 
Government,Canada,Amarilla,09/10/2021,1269,260,350,329940,39973.5, Medium 
Government,Spain,Amarilla,21/11/2021,1694,260,20,16940,3049.2, Medium 
Government,Germany,Carretera,03/05/2021,663,3,20,6630,1193.4, Medium 
Government,Canada,Carretera,13/07/2021,819,3,7,4095,515.97, Medium 
Channel Partners,Germany,Carretera,25/09/2021,1580,3,12,4740,1706.4, Medium 
Government,Spain,Carretera,11/12/2021,521,3,7,2605,328.23, Medium 
Government,UK,Paseo,01/03/2021,973,10,20,9730,1751.4, Medium 
Government,Spain,Paseo,04/06/2021,1038,10,20,10380,1868.4, Medium 
Government,Germany,Paseo,31/10/2021,360,10,7,1800,226.8, Medium 
Channel Partners,France,Velo,06/03/2021,1967,120,12,5901,2124.36, Medium 
Midmarket,Spain,Velo,14/04/2021,2628,120,15,26280,3547.8, Medium 
Government,Germany,VTT,19/10/2021,360,250,7,1800,226.8, Medium 
Government,Spain,VTT,30/12/2021,521,250,7,2605,328.23, Medium 
Government,Spain,Amarilla,18/06/2021,1038,260,20,10380,1868.4, Medium 
Midmarket,Canada,Amarilla,30/07/2021,1630.5,260,15,16305,2201.18, Medium 
Government,UK,Montana,12/09/2021,2328,5,7,11640,1629.6, High 
Enterprise,UK,Carretera,24/04/2021,3445.5,3,125,413460,43068.75, High 
Government,UK,Montana,15/05/2021,2313,5,350,601380,80955, High 
Midmarket,France,Montana,26/12/2021,2072,5,15,20720,3108, High 
Government,France,Paseo,28/03/2021,1954,10,20,19540,3908, High 
Small Business,Spain,Paseo,22/05/2021,591,10,300,147750,17730, High 
Government,Germany,Paseo,28/10/2021,241,10,20,2410,482, High 
Midmarket,Germany,Velo,04/01/2021,681,120,15,6810,1021.5, High 
Midmarket,Germany,Velo,29/04/2021,510,120,15,5100,765, High 
Midmarket,UK,Velo,06/05/2021,790,120,15,7900,1185, High 
Government,France,Velo,17/07/2021,639,120,350,166140,22365, High 
Enterprise,UK,Velo,06/09/2021,1596,120,125,191520,19950, High 
Government,Germany,Velo,12/10/2021,241,120,20,2410,482, High 
Government,Germany,Velo,08/11/2021,2665,120,7,13325,1865.5, High 
Small Business,France,Velo,04/12/2021,853,120,300,213250,25590, High 
Enterprise,Spain,VTT,04/05/2021,341,250,125,40920,4262.5, High 
Midmarket,Spain,VTT,05/07/2021,641,250,15,6410,961.5, High 
Government,UK,VTT,24/08/2021,2807,250,350,729820,98245, High 
Small Business,Spain,VTT,02/09/2021,432,250,300,108000,12960, High 
Enterprise,Canada,VTT,25/11/2021,2529,250,125,303480,31612.5, High 
Enterprise,UK,Amarilla,20/01/2021,579,260,125,69480,7237.5, High 
Government,Canada,Amarilla,08/02/2021,2240,260,350,582400,78400, High 
Small Business,UK,Amarilla,26/03/2021,2993,260,300,748250,89790, High 
Channel Partners,Canada,Amarilla,21/04/2021,3520.5,260,12,10561.5,4224.6, High 
Government,Spain,Amarilla,11/05/2021,2039,260,20,20390,4078, High 
Channel Partners,Germany,Amarilla,21/08/2021,2574,260,12,7722,3088.8, High 
Government,Canada,Amarilla,20/09/2021,707,260,350,183820,24745, High 
Midmarket,France,Amarilla,18/12/2021,2072,260,15,20720,3108, High 
Small Business,France,Amarilla,28/12/2021,853,260,300,213250,25590, High 
Government,France,Paseo,02/04/2021,2532,10,7,12660,1949.64, High 
Midmarket,Canada,Velo,13/01/2021,384,120,15,3840,633.6, High 
Channel Partners,Germany,Velo,21/10/2021,472,120,12,1416,623.04, High 
Government,UK,VTT,03/03/2021,1579,250,7,7895,1215.83, High 
Midmarket,UK,Amarilla,30/07/2021,3199.5,260,15,31995,5279.18, High 
Channel Partners,Germany,Amarilla,01/10/2021,472,260,12,1416,623.04, High 
Channel Partners,Canada,Carretera,05/02/2021,1937,3,12,5811,2556.84, High 
Government,Germany,Carretera,02/03/2021,792,3,350,205920,30492, High 
Small Business,Germany,Carretera,04/07/2021,2811,3,300,702750,92763, High 
Enterprise,France,Carretera,26/10/2021,2441,3,125,292920,33563.75, High 
Government,Germany,Montana,10/01/2021,766,5,350,199160,29491, High 
Midmarket,Spain,Montana,26/12/2021,2157,5,15,21570,3559.05, High 
Small Business,Canada,Paseo,20/01/2021,873,10,300,218250,28809, High 
Government,Spain,Paseo,21/03/2021,1122,10,20,11220,2468.4, High 
Government,Canada,Paseo,04/07/2021,2104.5,10,350,547170,81023.25, High 
Channel Partners,Canada,Paseo,15/07/2021,4026,10,12,12078,5314.32, High 
Channel Partners,France,Paseo,21/07/2021,2425.5,10,12,7276.5,3201.66, High 
Government,Canada,Paseo,10/08/2021,2394,10,20,23940,5266.8, High 
Midmarket,Spain,Paseo,06/08/2021,1984,10,15,19840,3273.6, High 
Enterprise,France,Paseo,22/10/2021,2441,10,125,292920,33563.75, High 
Small Business,Canada,Paseo,15/11/2021,1366,10,300,341500,45078, High 
Government,Canada,Velo,18/11/2021,1808,120,7,9040,1392.16, High 
Channel Partners,France,VTT,19/01/2021,1734,250,12,5202,2288.88, High 
Enterprise,Spain,VTT,09/01/2021,554,250,125,66480,7617.5, High 
Enterprise,Germany,Amarilla,13/01/2021,3165,260,125,379800,43518.75, High 
Government,Spain,Amarilla,13/01/2021,2629,260,20,26290,5783.8, High 
Enterprise,France,Amarilla,31/05/2021,1433,260,125,171960,19703.75, High 
Midmarket,Spain,Amarilla,19/12/2021,2157,260,15,21570,3559.05, High 
Government,Spain,Carretera,07/06/2021,886,3,350,230360,37212, High 
Enterprise,Spain,Carretera,04/10/2021,2156,3,125,258720,32340, High 
Midmarket,Canada,Carretera,10/11/2021,2689,3,15,26890,4840.2, High 
Midmarket,UK,Montana,25/03/2021,677,5,15,6770,1218.6, High 
Small Business,France,Montana,11/04/2021,1773,5,300,443250,63828, High 
Government,Spain,Montana,09/09/2021,2420,5,7,12100,2032.8, High 
Government,Canada,Montana,30/10/2021,2734,5,7,13670,2296.56, High 
Small Business,UK,Paseo,15/01/2021,3495,10,300,873750,125820, High 
Government,Spain,Paseo,26/06/2021,886,10,350,230360,37212, High 
Enterprise,Spain,Paseo,30/10/2021,2156,10,125,258720,32340, High 
Government,Spain,Paseo,24/10/2021,905,10,20,9050,2172, High 
Government,France,Paseo,17/11/2021,1594,10,350,414440,66948, High 
Small Business,Germany,Paseo,17/11/2021,1359,10,300,339750,48924, High 
Small Business,Spain,Paseo,13/11/2021,2150,10,300,537500,77400, High 
Government,Spain,Paseo,06/11/2021,1197,10,350,311220,50274, High 
Government,Spain,Paseo,22/12/2021,1233,10,20,12330,2959.2, High 
Government,Spain,Velo,30/07/2021,1395,120,350,362700,58590, High 
Government,UK,Velo,20/10/2021,986,120,350,256360,41412, High 
Government,Spain,Velo,10/10/2021,905,120,20,9050,2172, High 
Channel Partners,Canada,VTT,15/05/2021,2109,250,12,6327,3036.96, High 
Midmarket,France,VTT,12/07/2021,3874.5,250,15,38745,6974.1, High 
Government,UK,VTT,04/10/2021,986,250,350,256360,41412, High 
Enterprise,UK,VTT,27/11/2021,2387,250,125,286440,35805, High 
Government,Spain,VTT,21/12/2021,1233,250,20,12330,2959.2, High 
Government,UK,Amarilla,06/02/2021,270,260,350,70200,11340, High 
Government,France,Amarilla,25/07/2021,3421.5,260,7,17107.5,2874.06, High 
Government,Canada,Amarilla,29/10/2021,2734,260,7,13670,2296.56, High 
Government,France,Carretera,09/01/2021,2521.5,3,20,25215,6051.6, High 
Channel Partners,Spain,Montana,02/05/2021,2661,5,12,7983,3831.84, High 
Government,Germany,Paseo,06/12/2021,1531,10,20,15310,3674.4, High 
Government,France,VTT,06/03/2021,1491,250,7,7455,1252.44, High 
Government,Germany,VTT,26/12/2021,1531,250,20,15310,3674.4, High 
Midmarket,UK,Carretera,16/06/2021,2567,3,15,25670,5005.65, High 
Midmarket,UK,VTT,10/06/2021,2567,250,15,25670,5005.65, High 
Government,Canada,Carretera,06/03/2021,923,3,350,239980,41996.5, High 
Government,France,Carretera,04/03/2021,1790,3,350,465400,81445, High 
Government,UK,Montana,17/01/2021,982.5,5,350,255450,44703.75, High 
Government,UK,Montana,12/02/2021,1298,5,7,6490,1181.18, High 
Channel Partners,Spain,Montana,26/06/2021,604,5,12,1812,942.24, High 
Government,Spain,Montana,13/07/2021,2255,5,20,22550,5863, High 
Government,Canada,Montana,30/10/2021,1249,5,20,12490,3247.4, High 
Government,UK,Paseo,11/01/2021,1438.5,10,7,7192.5,1309.04, High 
Small Business,Germany,Paseo,12/01/2021,807,10,300,201750,31473, High 
Government,UK,Paseo,06/02/2021,2641,10,20,26410,6866.6, High 
Government,Germany,Paseo,12/02/2021,2708,10,20,27080,7040.8, High 
Government,Canada,Paseo,20/06/2021,2632,10,350,684320,119756, High 
Enterprise,Canada,Paseo,29/06/2021,1583,10,125,189960,25723.75, High 
Channel Partners,Spain,Paseo,26/07/2021,571,10,12,1713,890.76, High 
Government,France,Paseo,19/08/2021,2696,10,7,13480,2453.36, High 
Midmarket,Canada,Paseo,05/10/2021,1565,10,15,15650,3051.75, High 
Government,Canada,Paseo,25/10/2021,1249,10,20,12490,3247.4, High 
Government,Germany,Paseo,04/11/2021,357,10,350,92820,16243.5, High 
Channel Partners,Germany,Paseo,05/12/2021,1013,10,12,3039,1580.28, High 
Midmarket,France,Velo,05/01/2021,3997.5,120,15,39975,7795.13, High 
Government,Canada,Velo,26/06/2021,2632,120,350,684320,119756, High 
Government,France,Velo,27/06/2021,1190,120,7,5950,1082.9, High 
Channel Partners,Spain,Velo,16/06/2021,604,120,12,1812,942.24, High 
Channel Partners,Spain,Velo,03/10/2021,410,120,12,1230,639.6, High 
Channel Partners,Germany,Velo,26/12/2021,1013,120,12,3039,1580.28, High 
Enterprise,Canada,VTT,15/06/2021,1583,250,125,189960,25723.75, High 
Midmarket,Canada,VTT,06/10/2021,1565,250,15,15650,3051.75, High 
Enterprise,Canada,Amarilla,02/01/2021,1659,260,125,199080,26958.75, High 
Government,France,Amarilla,20/06/2021,1190,260,7,5950,1082.9, High 
Channel Partners,Spain,Amarilla,13/10/2021,410,260,12,1230,639.6, High 
Government,Spain,Carretera,25/04/2021,2579,3,20,25790,7221.2, High 
Government,UK,Carretera,06/05/2021,1743,3,20,17430,4880.4, High 
Government,Germany,Carretera,07/12/2021,280,3,7,1400,274.4, High 
Government,France,Montana,07/02/2021,293,5,7,1465,287.14, High 
Midmarket,Germany,Paseo,22/02/2021,278,10,15,2780,583.8, High 
Government,Canada,Paseo,17/03/2021,2428,10,20,24280,6798.4, High 
Midmarket,UK,Paseo,07/09/2021,1767,10,15,17670,3710.7, High 
Channel Partners,France,Paseo,19/10/2021,1393,10,12,4179,2340.24, High 
Government,Germany,VTT,16/12/2021,280,250,7,1400,274.4, High 
Channel Partners,France,Amarilla,08/10/2021,1393,260,12,4179,2340.24, High 
Small Business,Spain,Carretera,02/07/2021,801,3,300,200250,33642, High 
Small Business,Canada,Carretera,12/10/2021,1496,3,300,374000,62832, High 
Small Business,UK,Carretera,17/10/2021,1010,3,300,252500,42420, High 
Midmarket,Germany,Carretera,05/11/2021,1513,3,15,15130,3177.3, High 
Midmarket,Canada,Carretera,16/12/2021,2300,3,15,23000,4830, High 
Government,Canada,Montana,17/01/2021,2227.5,5,350,579150,109147.5, High 
Government,Germany,Montana,04/04/2021,1199,5,350,311740,58751, High 
Government,Canada,Montana,15/05/2021,200,5,350,52000,9800, High 
Government,Canada,Montana,04/09/2021,388,5,7,1940,380.24, High 
Midmarket,Canada,Montana,16/12/2021,2300,5,15,23000,4830, High 
Government,Spain,Paseo,16/02/2021,260,10,20,2600,728, High 
Channel Partners,UK,Paseo,29/10/2021,2914,10,12,8742,4895.52, High 
Government,France,Paseo,12/10/2021,1731,10,7,8655,1696.38, High 
Government,Canada,Paseo,21/11/2021,700,10,350,182000,34300, High 
Government,UK,Paseo,08/11/2021,1177,10,350,306020,57673, High 
Enterprise,Spain,Velo,17/02/2021,1575,120,125,189000,27562.5, High 
Government,UK,Velo,28/04/2021,606,120,20,6060,1696.8, High 
Small Business,UK,Velo,25/07/2021,2460,120,300,615000,103320, High 
Government,Spain,VTT,29/03/2021,2903,250,7,14515,2844.94, High 
Small Business,UK,VTT,30/08/2021,2541,250,300,635250,106722, High 
Small Business,Canada,VTT,28/10/2021,1496,250,300,374000,62832, High 
Small Business,UK,VTT,19/10/2021,1010,250,300,252500,42420, High 
Small Business,Canada,Amarilla,23/03/2021,888,260,300,222000,37296, High 
Enterprise,UK,Amarilla,05/05/2021,2844,260,125,341280,49770, High 
Channel Partners,France,Amarilla,23/08/2021,2475,260,12,7425,4158, High 
Channel Partners,UK,Amarilla,11/10/2021,2914,260,12,8742,4895.52, High 
Government,France,Amarilla,14/10/2021,1731,260,7,8655,1696.38, High 
Enterprise,France,Carretera,12/08/2021,1174,3,125,140880,22012.5, High 
Enterprise,Germany,Carretera,03/08/2021,2767,3,125,332040,51881.25, High 
Enterprise,Germany,Carretera,06/10/2021,1085,3,125,130200,20343.75, High 
Small Business,Spain,Montana,22/10/2021,546,5,300,136500,24570, High 
Government,Germany,Paseo,16/03/2021,1158,10,20,11580,3474, High 
Midmarket,Canada,Paseo,02/04/2021,1614,10,15,16140,3631.5, High 
Government,Spain,Paseo,02/04/2021,2535,10,7,12675,2661.75, High 
Government,Spain,Paseo,27/05/2021,2851,10,350,741260,149677.5, High 
Midmarket,Canada,Paseo,25/08/2021,2559,10,15,25590,5757.75, High 
Enterprise,Germany,Paseo,23/10/2021,1085,10,125,130200,20343.75, High 
Midmarket,Germany,Paseo,31/10/2021,1175,10,15,11750,2643.75, High 
Channel Partners,UK,Paseo,16/12/2021,914,10,12,2742,1645.2, High 
Government,France,Paseo,01/12/2021,293,10,20,2930,879, High 
Channel Partners,Spain,Velo,12/03/2021,500,120,12,1500,900, High 
Midmarket,France,Velo,28/05/2021,2826,120,15,28260,6358.5, High 
Enterprise,France,Velo,02/09/2021,663,120,125,79560,12431.25, High 
Channel Partners,UK,Velo,15/12/2021,914,120,12,2742,1645.2, High 
Government,Canada,VTT,04/07/2021,865.5,250,20,8655,2596.5, High 
Midmarket,Germany,VTT,15/07/2021,492,250,15,4920,1107, High 
Midmarket,Germany,VTT,19/10/2021,1175,250,15,11750,2643.75, High 
Enterprise,Germany,VTT,12/11/2021,552,250,125,66240,10350, High 
Government,France,VTT,29/12/2021,293,250,20,2930,879, High 
Small Business,France,Amarilla,09/03/2021,2475,260,300,618750,111375, High 
Small Business,Spain,Amarilla,18/10/2021,546,260,300,136500,24570, High 
Government,Spain,Montana,16/02/2021,1368,5,7,6840,1436.4, High 
Government,Canada,Paseo,02/04/2021,723,10,7,3615,759.15, High 
Channel Partners,UK,VTT,14/05/2021,1806,250,12,5418,3250.8, High 
