Date,Date Key,Month Key,Month,Quarter,Year,Year Quarter,Year Month,Year Month Key,Day Of Week Key,Day Of Week,Day Of Month
03-Oct-2019,20191003,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,5,Thu,3
04-Oct-2019,20191004,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,6,Fri,4
05-Oct-2019,20191005,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,7,Sat,5
06-Oct-2019,20191006,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,1,Sun,6
07-Oct-2019,20191007,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,2,Mon,7
08-Oct-2019,20191008,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,3,Tue,8
09-Oct-2019,20191009,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,4,Wed,9
10-Oct-2019,20191010,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,5,Thu,10
11-Oct-2019,20191011,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,6,Fri,11
12-Oct-2019,20191012,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,7,Sat,12
13-Oct-2019,20191013,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,1,Sun,13
14-Oct-2019,20191014,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,2,Mon,14
15-Oct-2019,20191015,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,3,Tue,15
16-Oct-2019,20191016,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,4,Wed,16
17-Oct-2019,20191017,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,5,Thu,17
18-Oct-2019,20191018,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,6,Fri,18
19-Oct-2019,20191019,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,7,Sat,19
20-Oct-2019,20191020,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,1,Sun,20
21-Oct-2019,20191021,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,2,Mon,21
22-Oct-2019,20191022,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,3,Tue,22
23-Oct-2019,20191023,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,4,Wed,23
24-Oct-2019,20191024,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,5,Thu,24
25-Oct-2019,20191025,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,6,Fri,25
26-Oct-2019,20191026,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,7,Sat,26
27-Oct-2019,20191027,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,1,Sun,27
28-Oct-2019,20191028,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,2,Mon,28
29-Oct-2019,20191029,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,3,Tue,29
30-Oct-2019,20191030,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,4,Wed,30
31-Oct-2019,20191031,10,Oct,Q4,2019,2019 Q4,2019 Oct,201910,5,Thu,31
01-Nov-2019,20191101,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,6,Fri,1
02-Nov-2019,20191102,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,7,Sat,2
03-Nov-2019,20191103,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,1,Sun,3
04-Nov-2019,20191104,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,2,Mon,4
05-Nov-2019,20191105,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,3,Tue,5
06-Nov-2019,20191106,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,4,Wed,6
07-Nov-2019,20191107,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,5,Thu,7
08-Nov-2019,20191108,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,6,Fri,8
09-Nov-2019,20191109,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,7,Sat,9
10-Nov-2019,20191110,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,1,Sun,10
11-Nov-2019,20191111,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,2,Mon,11
12-Nov-2019,20191112,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,3,Tue,12
13-Nov-2019,20191113,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,4,Wed,13
14-Nov-2019,20191114,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,5,Thu,14
15-Nov-2019,20191115,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,6,Fri,15
16-Nov-2019,20191116,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,7,Sat,16
17-Nov-2019,20191117,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,1,Sun,17
18-Nov-2019,20191118,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,2,Mon,18
19-Nov-2019,20191119,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,3,Tue,19
20-Nov-2019,20191120,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,4,Wed,20
21-Nov-2019,20191121,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,5,Thu,21
22-Nov-2019,20191122,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,6,Fri,22
23-Nov-2019,20191123,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,7,Sat,23
24-Nov-2019,20191124,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,1,Sun,24
25-Nov-2019,20191125,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,2,Mon,25
26-Nov-2019,20191126,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,3,Tue,26
27-Nov-2019,20191127,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,4,Wed,27
28-Nov-2019,20191128,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,5,Thu,28
29-Nov-2019,20191129,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,6,Fri,29
30-Nov-2019,20191130,11,Nov,Q4,2019,2019 Q4,2019 Nov,201911,7,Sat,30
01-Dec-2019,20191201,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,1,Sun,1
02-Dec-2019,20191202,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,2,Mon,2
03-Dec-2019,20191203,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,3,Tue,3
04-Dec-2019,20191204,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,4,Wed,4
05-Dec-2019,20191205,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,5,Thu,5
06-Dec-2019,20191206,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,6,Fri,6
07-Dec-2019,20191207,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,7,Sat,7
08-Dec-2019,20191208,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,1,Sun,8
09-Dec-2019,20191209,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,2,Mon,9
10-Dec-2019,20191210,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,3,Tue,10
11-Dec-2019,20191211,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,4,Wed,11
12-Dec-2019,20191212,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,5,Thu,12
13-Dec-2019,20191213,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,6,Fri,13
14-Dec-2019,20191214,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,7,Sat,14
15-Dec-2019,20191215,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,1,Sun,15
16-Dec-2019,20191216,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,2,Mon,16
17-Dec-2019,20191217,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,3,Tue,17
18-Dec-2019,20191218,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,4,Wed,18
19-Dec-2019,20191219,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,5,Thu,19
20-Dec-2019,20191220,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,6,Fri,20
21-Dec-2019,20191221,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,7,Sat,21
22-Dec-2019,20191222,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,1,Sun,22
23-Dec-2019,20191223,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,2,Mon,23
24-Dec-2019,20191224,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,3,Tue,24
25-Dec-2019,20191225,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,4,Wed,25
26-Dec-2019,20191226,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,5,Thu,26
27-Dec-2019,20191227,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,6,Fri,27
28-Dec-2019,20191228,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,7,Sat,28
29-Dec-2019,20191229,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,1,Sun,29
30-Dec-2019,20191230,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,2,Mon,30
31-Dec-2019,20191231,12,Dec,Q4,2019,2019 Q4,2019 Dec,201912,3,Tue,31
01-Jan-2020,20200101,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,4,Wed,1
02-Jan-2020,20200102,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,5,Thu,2
03-Jan-2020,20200103,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,6,Fri,3
04-Jan-2020,20200104,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,7,Sat,4
05-Jan-2020,20200105,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,1,Sun,5
06-Jan-2020,20200106,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,2,Mon,6
07-Jan-2020,20200107,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,3,Tue,7
08-Jan-2020,20200108,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,4,Wed,8
09-Jan-2020,20200109,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,5,Thu,9
10-Jan-2020,20200110,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,6,Fri,10
11-Jan-2020,20200111,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,7,Sat,11
12-Jan-2020,20200112,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,1,Sun,12
13-Jan-2020,20200113,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,2,Mon,13
14-Jan-2020,20200114,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,3,Tue,14
15-Jan-2020,20200115,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,4,Wed,15
16-Jan-2020,20200116,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,5,Thu,16
17-Jan-2020,20200117,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,6,Fri,17
18-Jan-2020,20200118,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,7,Sat,18
19-Jan-2020,20200119,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,1,Sun,19
20-Jan-2020,20200120,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,2,Mon,20
21-Jan-2020,20200121,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,3,Tue,21
22-Jan-2020,20200122,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,4,Wed,22
23-Jan-2020,20200123,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,5,Thu,23
24-Jan-2020,20200124,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,6,Fri,24
25-Jan-2020,20200125,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,7,Sat,25
26-Jan-2020,20200126,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,1,Sun,26
27-Jan-2020,20200127,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,2,Mon,27
28-Jan-2020,20200128,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,3,Tue,28
29-Jan-2020,20200129,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,4,Wed,29
30-Jan-2020,20200130,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,5,Thu,30
31-Jan-2020,20200131,1,Jan,Q1,2020,2020 Q1,2020 Jan,202001,6,Fri,31
01-Feb-2020,20200201,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,7,Sat,1
02-Feb-2020,20200202,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,1,Sun,2
03-Feb-2020,20200203,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,2,Mon,3
04-Feb-2020,20200204,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,3,Tue,4
05-Feb-2020,20200205,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,4,Wed,5
06-Feb-2020,20200206,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,5,Thu,6
07-Feb-2020,20200207,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,6,Fri,7
08-Feb-2020,20200208,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,7,Sat,8
09-Feb-2020,20200209,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,1,Sun,9
10-Feb-2020,20200210,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,2,Mon,10
11-Feb-2020,20200211,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,3,Tue,11
12-Feb-2020,20200212,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,4,Wed,12
13-Feb-2020,20200213,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,5,Thu,13
14-Feb-2020,20200214,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,6,Fri,14
15-Feb-2020,20200215,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,7,Sat,15
16-Feb-2020,20200216,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,1,Sun,16
17-Feb-2020,20200217,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,2,Mon,17
18-Feb-2020,20200218,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,3,Tue,18
19-Feb-2020,20200219,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,4,Wed,19
20-Feb-2020,20200220,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,5,Thu,20
21-Feb-2020,20200221,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,6,Fri,21
22-Feb-2020,20200222,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,7,Sat,22
23-Feb-2020,20200223,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,1,Sun,23
24-Feb-2020,20200224,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,2,Mon,24
25-Feb-2020,20200225,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,3,Tue,25
26-Feb-2020,20200226,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,4,Wed,26
27-Feb-2020,20200227,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,5,Thu,27
28-Feb-2020,20200228,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,6,Fri,28
29-Feb-2020,20200229,2,Feb,Q1,2020,2020 Q1,2020 Feb,202002,7,Sat,29
01-Mar-2020,20200301,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,1,Sun,1
02-Mar-2020,20200302,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,2,Mon,2
03-Mar-2020,20200303,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,3,Tue,3
04-Mar-2020,20200304,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,4,Wed,4
05-Mar-2020,20200305,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,5,Thu,5
06-Mar-2020,20200306,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,6,Fri,6
07-Mar-2020,20200307,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,7,Sat,7
08-Mar-2020,20200308,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,1,Sun,8
09-Mar-2020,20200309,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,2,Mon,9
10-Mar-2020,20200310,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,3,Tue,10
11-Mar-2020,20200311,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,4,Wed,11
12-Mar-2020,20200312,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,5,Thu,12
13-Mar-2020,20200313,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,6,Fri,13
14-Mar-2020,20200314,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,7,Sat,14
15-Mar-2020,20200315,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,1,Sun,15
16-Mar-2020,20200316,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,2,Mon,16
17-Mar-2020,20200317,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,3,Tue,17
18-Mar-2020,20200318,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,4,Wed,18
19-Mar-2020,20200319,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,5,Thu,19
20-Mar-2020,20200320,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,6,Fri,20
21-Mar-2020,20200321,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,7,Sat,21
22-Mar-2020,20200322,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,1,Sun,22
23-Mar-2020,20200323,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,2,Mon,23
24-Mar-2020,20200324,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,3,Tue,24
25-Mar-2020,20200325,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,4,Wed,25
26-Mar-2020,20200326,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,5,Thu,26
27-Mar-2020,20200327,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,6,Fri,27
28-Mar-2020,20200328,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,7,Sat,28
29-Mar-2020,20200329,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,1,Sun,29
30-Mar-2020,20200330,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,2,Mon,30
31-Mar-2020,20200331,3,Mar,Q1,2020,2020 Q1,2020 Mar,202003,3,Tue,31
01-Apr-2020,20200401,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,4,Wed,1
02-Apr-2020,20200402,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,5,Thu,2
03-Apr-2020,20200403,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,6,Fri,3
04-Apr-2020,20200404,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,7,Sat,4
05-Apr-2020,20200405,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,1,Sun,5
06-Apr-2020,20200406,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,2,Mon,6
07-Apr-2020,20200407,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,3,Tue,7
08-Apr-2020,20200408,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,4,Wed,8
09-Apr-2020,20200409,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,5,Thu,9
10-Apr-2020,20200410,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,6,Fri,10
11-Apr-2020,20200411,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,7,Sat,11
12-Apr-2020,20200412,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,1,Sun,12
13-Apr-2020,20200413,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,2,Mon,13
14-Apr-2020,20200414,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,3,Tue,14
15-Apr-2020,20200415,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,4,Wed,15
16-Apr-2020,20200416,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,5,Thu,16
17-Apr-2020,20200417,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,6,Fri,17
18-Apr-2020,20200418,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,7,Sat,18
19-Apr-2020,20200419,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,1,Sun,19
20-Apr-2020,20200420,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,2,Mon,20
21-Apr-2020,20200421,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,3,Tue,21
22-Apr-2020,20200422,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,4,Wed,22
23-Apr-2020,20200423,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,5,Thu,23
24-Apr-2020,20200424,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,6,Fri,24
25-Apr-2020,20200425,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,7,Sat,25
26-Apr-2020,20200426,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,1,Sun,26
27-Apr-2020,20200427,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,2,Mon,27
28-Apr-2020,20200428,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,3,Tue,28
29-Apr-2020,20200429,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,4,Wed,29
30-Apr-2020,20200430,4,Apr,Q2,2020,2020 Q2,2020 Apr,202004,5,Thu,30
01-May-2020,20200501,5,May,Q2,2020,2020 Q2,2020 May,202005,6,Fri,1
02-May-2020,20200502,5,May,Q2,2020,2020 Q2,2020 May,202005,7,Sat,2
03-May-2020,20200503,5,May,Q2,2020,2020 Q2,2020 May,202005,1,Sun,3
04-May-2020,20200504,5,May,Q2,2020,2020 Q2,2020 May,202005,2,Mon,4
05-May-2020,20200505,5,May,Q2,2020,2020 Q2,2020 May,202005,3,Tue,5
06-May-2020,20200506,5,May,Q2,2020,2020 Q2,2020 May,202005,4,Wed,6
07-May-2020,20200507,5,May,Q2,2020,2020 Q2,2020 May,202005,5,Thu,7
08-May-2020,20200508,5,May,Q2,2020,2020 Q2,2020 May,202005,6,Fri,8
09-May-2020,20200509,5,May,Q2,2020,2020 Q2,2020 May,202005,7,Sat,9
10-May-2020,20200510,5,May,Q2,2020,2020 Q2,2020 May,202005,1,Sun,10
11-May-2020,20200511,5,May,Q2,2020,2020 Q2,2020 May,202005,2,Mon,11
12-May-2020,20200512,5,May,Q2,2020,2020 Q2,2020 May,202005,3,Tue,12
13-May-2020,20200513,5,May,Q2,2020,2020 Q2,2020 May,202005,4,Wed,13
14-May-2020,20200514,5,May,Q2,2020,2020 Q2,2020 May,202005,5,Thu,14
15-May-2020,20200515,5,May,Q2,2020,2020 Q2,2020 May,202005,6,Fri,15
16-May-2020,20200516,5,May,Q2,2020,2020 Q2,2020 May,202005,7,Sat,16
17-May-2020,20200517,5,May,Q2,2020,2020 Q2,2020 May,202005,1,Sun,17
18-May-2020,20200518,5,May,Q2,2020,2020 Q2,2020 May,202005,2,Mon,18
19-May-2020,20200519,5,May,Q2,2020,2020 Q2,2020 May,202005,3,Tue,19
20-May-2020,20200520,5,May,Q2,2020,2020 Q2,2020 May,202005,4,Wed,20
21-May-2020,20200521,5,May,Q2,2020,2020 Q2,2020 May,202005,5,Thu,21
22-May-2020,20200522,5,May,Q2,2020,2020 Q2,2020 May,202005,6,Fri,22
23-May-2020,20200523,5,May,Q2,2020,2020 Q2,2020 May,202005,7,Sat,23
24-May-2020,20200524,5,May,Q2,2020,2020 Q2,2020 May,202005,1,Sun,24
25-May-2020,20200525,5,May,Q2,2020,2020 Q2,2020 May,202005,2,Mon,25
26-May-2020,20200526,5,May,Q2,2020,2020 Q2,2020 May,202005,3,Tue,26
27-May-2020,20200527,5,May,Q2,2020,2020 Q2,2020 May,202005,4,Wed,27
28-May-2020,20200528,5,May,Q2,2020,2020 Q2,2020 May,202005,5,Thu,28
29-May-2020,20200529,5,May,Q2,2020,2020 Q2,2020 May,202005,6,Fri,29
30-May-2020,20200530,5,May,Q2,2020,2020 Q2,2020 May,202005,7,Sat,30
31-May-2020,20200531,5,May,Q2,2020,2020 Q2,2020 May,202005,1,Sun,31
01-Jun-2020,20200601,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,2,Mon,1
02-Jun-2020,20200602,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,3,Tue,2
03-Jun-2020,20200603,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,4,Wed,3
04-Jun-2020,20200604,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,5,Thu,4
05-Jun-2020,20200605,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,6,Fri,5
06-Jun-2020,20200606,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,7,Sat,6
07-Jun-2020,20200607,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,1,Sun,7
08-Jun-2020,20200608,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,2,Mon,8
09-Jun-2020,20200609,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,3,Tue,9
10-Jun-2020,20200610,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,4,Wed,10
11-Jun-2020,20200611,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,5,Thu,11
12-Jun-2020,20200612,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,6,Fri,12
13-Jun-2020,20200613,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,7,Sat,13
14-Jun-2020,20200614,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,1,Sun,14
15-Jun-2020,20200615,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,2,Mon,15
16-Jun-2020,20200616,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,3,Tue,16
17-Jun-2020,20200617,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,4,Wed,17
18-Jun-2020,20200618,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,5,Thu,18
19-Jun-2020,20200619,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,6,Fri,19
20-Jun-2020,20200620,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,7,Sat,20
21-Jun-2020,20200621,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,1,Sun,21
22-Jun-2020,20200622,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,2,Mon,22
23-Jun-2020,20200623,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,3,Tue,23
24-Jun-2020,20200624,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,4,Wed,24
25-Jun-2020,20200625,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,5,Thu,25
26-Jun-2020,20200626,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,6,Fri,26
27-Jun-2020,20200627,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,7,Sat,27
28-Jun-2020,20200628,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,1,Sun,28
29-Jun-2020,20200629,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,2,Mon,29
30-Jun-2020,20200630,6,Jun,Q2,2020,2020 Q2,2020 Jun,202006,3,Tue,30
01-Jul-2020,20200701,7,Jul,Q3,2020,2020 Q3,2020 Jul,202007,4,Wed,1
02-Jul-2020,20200702,7,Jul,Q3,2020,2020 Q3,2020 Jul,202007,5,Thu,2
03-Jul-2020,20200703,7,Jul,Q3,2020,2020 Q3,2020 Jul,202007,6,Fri,3
04-Jul-2020,20200704,7,Jul,Q3,2020,2020 Q3,2020 Jul,202007,7,Sat,4
