Year_Period,Start Date,End Date,Days In Period,Journey Type,Number Of Journeys (m)
15/16_06,23-Aug-2015,19-Sep-2015,28,Emirates Airline,0.123068
15/16_06,23-Aug-2015,19-Sep-2015,28,Overground,13.93937148
15/16_06,23-Aug-2015,19-Sep-2015,28,TfL Rail,3.733603486
15/16_06,23-Aug-2015,19-Sep-2015,28,Tram,2.025645
15/16_06,23-Aug-2015,19-Sep-2015,28,Underground,97.63890691
15/16_07,20-Sep-2015,17-Oct-2015,28,Bus,190.7567215
15/16_07,20-Sep-2015,17-Oct-2015,28,DLR,9.593599709
15/16_07,20-Sep-2015,17-Oct-2015,28,Emirates Airline,0.118785
15/16_07,20-Sep-2015,17-Oct-2015,28,Overground,15.65157073
15/16_07,20-Sep-2015,17-Oct-2015,28,TfL Rail,4.143011094
15/16_07,20-Sep-2015,17-Oct-2015,28,Tram,2.200561
15/16_07,20-Sep-2015,17-Oct-2015,28,Underground,111.6690247
15/16_08,18-Oct-2015,14-Nov-2015,28,Bus,181.1999349
15/16_08,18-Oct-2015,14-Nov-2015,28,DLR,8.852735306
15/16_08,18-Oct-2015,14-Nov-2015,28,Emirates Airline,0.139655
15/16_08,18-Oct-2015,14-Nov-2015,28,Overground,15.53898643
15/16_08,18-Oct-2015,14-Nov-2015,28,TfL Rail,4.150729505
15/16_08,18-Oct-2015,14-Nov-2015,28,Tram,2.16637
15/16_08,18-Oct-2015,14-Nov-2015,28,Underground,112.7043198
15/16_09,15-Nov-2015,12-Dec-2015,28,Bus,186.6151484
15/16_09,15-Nov-2015,12-Dec-2015,28,DLR,9.41798609
15/16_09,15-Nov-2015,12-Dec-2015,28,Emirates Airline,0.052531
15/16_09,15-Nov-2015,12-Dec-2015,28,Overground,15.75319307
15/16_09,15-Nov-2015,12-Dec-2015,28,TfL Rail,4.179697757
15/16_09,15-Nov-2015,12-Dec-2015,28,Tram,2.25369
15/16_09,15-Nov-2015,12-Dec-2015,28,Underground,114.0281099
15/16_10,13-Dec-2015,09-Jan-2016,28,Bus,147.1039225
15/16_10,13-Dec-2015,09-Jan-2016,28,DLR,7.11907788
15/16_10,13-Dec-2015,09-Jan-2016,28,Emirates Airline,0.08393
15/16_10,13-Dec-2015,09-Jan-2016,28,Overground,11.31366562
15/16_10,13-Dec-2015,09-Jan-2016,28,TfL Rail,2.964734366
15/16_10,13-Dec-2015,09-Jan-2016,28,Tram,1.848881
15/16_10,13-Dec-2015,09-Jan-2016,28,Underground,85.36130233
15/16_11,10-Jan-2016,06-Feb-2016,28,Bus,179.5026361
15/16_11,10-Jan-2016,06-Feb-2016,28,DLR,9.256776652
15/16_11,10-Jan-2016,06-Feb-2016,28,Emirates Airline,0.074064944
15/16_11,10-Jan-2016,06-Feb-2016,28,Overground,15.39186469
15/16_11,10-Jan-2016,06-Feb-2016,28,TfL Rail,3.767157214
15/16_11,10-Jan-2016,06-Feb-2016,28,Tram,2.133401629
15/16_11,10-Jan-2016,06-Feb-2016,28,Underground,106.8373267
15/16_12,07-Feb-2016,05-Mar-2016,28,Bus,175.9804637
15/16_12,07-Feb-2016,05-Mar-2016,28,DLR,9.51310813
15/16_12,07-Feb-2016,05-Mar-2016,28,Emirates Airline,0.108914337
15/16_12,07-Feb-2016,05-Mar-2016,28,Overground,14.49889317
15/16_12,07-Feb-2016,05-Mar-2016,28,TfL Rail,3.234045687
15/16_12,07-Feb-2016,05-Mar-2016,28,Tram,2.231009117
15/16_12,07-Feb-2016,05-Mar-2016,28,Underground,109.2514286
15/16_13,06-Mar-2016,31-Mar-2016,31,Bus,159.4396243
15/16_13,06-Mar-2016,31-Mar-2016,31,DLR,8.366346391
15/16_13,06-Mar-2016,31-Mar-2016,31,Emirates Airline,0.077295
15/16_13,06-Mar-2016,31-Mar-2016,31,Overground,12.61567151
15/16_13,06-Mar-2016,31-Mar-2016,31,TfL Rail,2.829296183
15/16_13,06-Mar-2016,31-Mar-2016,31,Tram,1.901846842
15/16_13,06-Mar-2016,31-Mar-2016,31,Underground,94.46293197
16/17_01,01-Apr-2016,30-Apr-2016,30,Bus,189.2696946
16/17_01,01-Apr-2016,30-Apr-2016,30,DLR,10.37966587
16/17_01,01-Apr-2016,30-Apr-2016,30,Emirates Airline,0.140012
16/17_01,01-Apr-2016,30-Apr-2016,30,Overground,15.64536191
16/17_01,01-Apr-2016,30-Apr-2016,30,TfL Rail,3.99836286
16/17_01,01-Apr-2016,30-Apr-2016,30,Tram,2.392990897
16/17_01,01-Apr-2016,30-Apr-2016,30,Underground,114.1526265
16/17_02,01-May-2016,28-May-2016,28,Bus,181.877468
16/17_02,01-May-2016,28-May-2016,28,DLR,9.535925715
16/17_02,01-May-2016,28-May-2016,28,Emirates Airline,0.128865825
16/17_02,01-May-2016,28-May-2016,28,Overground,14.43277766
16/17_02,01-May-2016,28-May-2016,28,TfL Rail,3.694140364
16/17_02,01-May-2016,28-May-2016,28,Tram,2.381151083
16/17_02,01-May-2016,28-May-2016,28,Underground,105.7104852
16/17_03,29-May-2016,25-Jun-2016,28,Bus,173.6442849
16/17_03,29-May-2016,25-Jun-2016,28,DLR,9.206399288
16/17_03,29-May-2016,25-Jun-2016,28,Emirates Airline,0.112962
16/17_03,29-May-2016,25-Jun-2016,28,Overground,13.77792909
16/17_03,29-May-2016,25-Jun-2016,28,TfL Rail,3.508856093
16/17_03,29-May-2016,25-Jun-2016,28,Tram,2.309534152
16/17_03,29-May-2016,25-Jun-2016,28,Underground,104.2123534
16/17_04,26-Jun-2016,23-Jul-2016,28,Bus,177.6993792
16/17_04,26-Jun-2016,23-Jul-2016,28,DLR,9.374086282
16/17_04,26-Jun-2016,23-Jul-2016,28,Emirates Airline,0.132425
16/17_04,26-Jun-2016,23-Jul-2016,28,Overground,14.13202587
16/17_04,26-Jun-2016,23-Jul-2016,28,TfL Rail,3.808085695
16/17_04,26-Jun-2016,23-Jul-2016,28,Tram,2.439134898
16/17_04,26-Jun-2016,23-Jul-2016,28,Underground,109.057369
16/17_05,24-Jul-2016,20-Aug-2016,28,Bus,155.321431
16/17_05,24-Jul-2016,20-Aug-2016,28,DLR,8.973565729
16/17_05,24-Jul-2016,20-Aug-2016,28,Emirates Airline,0.182303
16/17_05,24-Jul-2016,20-Aug-2016,28,Overground,13.74282798
16/17_05,24-Jul-2016,20-Aug-2016,28,TfL Rail,3.588850528
16/17_05,24-Jul-2016,20-Aug-2016,28,Tram,1.813009057
16/17_05,24-Jul-2016,20-Aug-2016,28,Underground,101.0829368
16/17_06,21-Aug-2016,17-Sep-2016,28,Bus,166.3205143
16/17_06,21-Aug-2016,17-Sep-2016,28,DLR,8.755083128
16/17_06,21-Aug-2016,17-Sep-2016,28,Emirates Airline,0.136297
16/17_06,21-Aug-2016,17-Sep-2016,28,Overground,14.18852051
16/17_06,21-Aug-2016,17-Sep-2016,28,TfL Rail,3.469032082
16/17_06,21-Aug-2016,17-Sep-2016,28,Tram,2.244757992
16/17_06,21-Aug-2016,17-Sep-2016,28,Underground,98.75429933
16/17_07,18-Sep-2016,15-Oct-2016,28,Bus,186.9184053
16/17_07,18-Sep-2016,15-Oct-2016,28,DLR,9.619824857
16/17_07,18-Sep-2016,15-Oct-2016,28,Emirates Airline,0.09988225
16/17_07,18-Sep-2016,15-Oct-2016,28,Overground,15.23670263
16/17_07,18-Sep-2016,15-Oct-2016,28,TfL Rail,3.738489267
16/17_07,18-Sep-2016,15-Oct-2016,28,Tram,2.518967928
16/17_07,18-Sep-2016,15-Oct-2016,28,Underground,110.3881285
16/17_08,16-Oct-2016,12-Nov-2016,28,Bus,176.6024622
16/17_08,16-Oct-2016,12-Nov-2016,28,DLR,10.06123362
16/17_08,16-Oct-2016,12-Nov-2016,28,Emirates Airline,0.118994
16/17_08,16-Oct-2016,12-Nov-2016,28,Overground,15.43628028
16/17_08,16-Oct-2016,12-Nov-2016,28,TfL Rail,3.826849348
16/17_08,16-Oct-2016,12-Nov-2016,28,Tram,2.219800939
16/17_08,16-Oct-2016,12-Nov-2016,28,Underground,112.6088136
16/17_09,13-Nov-2016,10-Dec-2016,28,Bus,182.6521273
16/17_09,13-Nov-2016,10-Dec-2016,28,DLR,10.05278135
16/17_09,13-Nov-2016,10-Dec-2016,28,Emirates Airline,0.080307
16/17_09,13-Nov-2016,10-Dec-2016,28,Overground,15.69699568
16/17_09,13-Nov-2016,10-Dec-2016,28,TfL Rail,4.011194419
16/17_09,13-Nov-2016,10-Dec-2016,28,Tram,2.123296512
16/17_09,13-Nov-2016,10-Dec-2016,28,Underground,116.6632478
16/17_10,11-Dec-2016,07-Jan-2017,28,Bus,145.7549356
16/17_10,11-Dec-2016,07-Jan-2017,28,DLR,7.55864029
16/17_10,11-Dec-2016,07-Jan-2017,28,Emirates Airline,0.092992
16/17_10,11-Dec-2016,07-Jan-2017,28,Overground,11.98208519
16/17_10,11-Dec-2016,07-Jan-2017,28,TfL Rail,3.324919393
16/17_10,11-Dec-2016,07-Jan-2017,28,Tram,2.084239862
16/17_10,11-Dec-2016,07-Jan-2017,28,Underground,89.01784608
16/17_11,08-Jan-2017,04-Feb-2017,28,Bus,174.4384818
16/17_11,08-Jan-2017,04-Feb-2017,28,DLR,9.567922239
16/17_11,08-Jan-2017,04-Feb-2017,28,Emirates Airline,0.07872
16/17_11,08-Jan-2017,04-Feb-2017,28,Overground,14.83998874
16/17_11,08-Jan-2017,04-Feb-2017,28,TfL Rail,3.768952394
16/17_11,08-Jan-2017,04-Feb-2017,28,Tram,2.40832477
16/17_11,08-Jan-2017,04-Feb-2017,28,Underground,101.8914987
16/17_12,05-Feb-2017,04-Mar-2017,28,Bus,172.9433928
16/17_12,05-Feb-2017,04-Mar-2017,28,DLR,9.744193022
16/17_12,05-Feb-2017,04-Mar-2017,28,Emirates Airline,0.108992
16/17_12,05-Feb-2017,04-Mar-2017,28,Overground,14.6108366
16/17_12,05-Feb-2017,04-Mar-2017,28,TfL Rail,3.586700892
16/17_12,05-Feb-2017,04-Mar-2017,28,Tram,2.206987478
16/17_12,05-Feb-2017,04-Mar-2017,28,Underground,108.2720751
16/17_13,05-Mar-2017,31-Mar-2017,27,Bus,178.3662
16/17_13,05-Mar-2017,31-Mar-2017,27,DLR,9.473688795
16/17_13,05-Mar-2017,31-Mar-2017,27,Emirates Airline,0.06697665
16/17_13,05-Mar-2017,31-Mar-2017,27,Overground,15.06085133
16/17_13,05-Mar-2017,31-Mar-2017,27,TfL Rail,3.439086772
16/17_13,05-Mar-2017,31-Mar-2017,27,Tram,2.38874319
16/17_13,05-Mar-2017,31-Mar-2017,27,Underground,106.0387452
17/18_01,01-Apr-2017,29-Apr-2017,29,Bus,172.5880603
17/18_01,01-Apr-2017,29-Apr-2017,29,DLR,9.715748354
17/18_01,01-Apr-2017,29-Apr-2017,29,Emirates Airline,0.155692978
17/18_01,01-Apr-2017,29-Apr-2017,29,Overground,14.72110999
17/18_01,01-Apr-2017,29-Apr-2017,29,TfL Rail,3.290075087
17/18_01,01-Apr-2017,29-Apr-2017,29,Tram,2.133444005
17/18_01,01-Apr-2017,29-Apr-2017,29,Underground,104.5549085
17/18_02,30-Apr-2017,27-May-2017,28,Bus,182.263921
17/18_02,30-Apr-2017,27-May-2017,28,DLR,9.396461646
17/18_02,30-Apr-2017,27-May-2017,28,Emirates Airline,0.113401991
17/18_02,30-Apr-2017,27-May-2017,28,Overground,14.83456338
17/18_02,30-Apr-2017,27-May-2017,28,TfL Rail,3.516487515
17/18_02,30-Apr-2017,27-May-2017,28,Tram,2.259733915
17/18_02,30-Apr-2017,27-May-2017,28,Underground,106.0963125
17/18_03,28-May-2017,24-Jun-2017,28,Bus,175.7759459
17/18_03,28-May-2017,24-Jun-2017,28,DLR,9.162794811
17/18_03,28-May-2017,24-Jun-2017,28,Emirates Airline,0.11319885
17/18_03,28-May-2017,24-Jun-2017,28,Overground,14.38761568
17/18_03,28-May-2017,24-Jun-2017,28,TfL Rail,3.38090789
17/18_03,28-May-2017,24-Jun-2017,28,Tram,2.22733318
17/18_03,28-May-2017,24-Jun-2017,28,Underground,101.6014999
17/18_04,25-Jun-2017,22-Jul-2017,28,Bus,181.4774547
17/18_04,25-Jun-2017,22-Jul-2017,28,DLR,9.558797626
17/18_04,25-Jun-2017,22-Jul-2017,28,Emirates Airline,0.129216
17/18_04,25-Jun-2017,22-Jul-2017,28,Overground,14.98989134
17/18_04,25-Jun-2017,22-Jul-2017,28,TfL Rail,3.708985052
17/18_04,25-Jun-2017,22-Jul-2017,28,Tram,2.366947479
17/18_04,25-Jun-2017,22-Jul-2017,28,Underground,108.9864657
17/18_05,23-Jul-2017,19-Aug-2017,28,Bus,155.1018845
17/18_05,23-Jul-2017,19-Aug-2017,28,DLR,9.154602405
17/18_05,23-Jul-2017,19-Aug-2017,28,Emirates Airline,0.179892
17/18_05,23-Jul-2017,19-Aug-2017,28,Overground,14.44132847
17/18_05,23-Jul-2017,19-Aug-2017,28,TfL Rail,3.465754813
17/18_05,23-Jul-2017,19-Aug-2017,28,Tram,2.060928147
17/18_05,23-Jul-2017,19-Aug-2017,28,Underground,101.0410377
17/18_06,20-Aug-2017,16-Sep-2017,28,Bus,165.9884702
17/18_06,20-Aug-2017,16-Sep-2017,28,DLR,8.640984748
17/18_06,20-Aug-2017,16-Sep-2017,28,Emirates Airline,0.121204
17/18_06,20-Aug-2017,16-Sep-2017,28,Overground,14.54848112
17/18_06,20-Aug-2017,16-Sep-2017,28,TfL Rail,3.295722397
17/18_06,20-Aug-2017,16-Sep-2017,28,Tram,2.207812359
17/18_06,20-Aug-2017,16-Sep-2017,28,Underground,96.44990665
17/18_07,17-Sep-2017,14-Oct-2017,28,Bus,186.9083717
17/18_07,17-Sep-2017,14-Oct-2017,28,DLR,9.607001818
17/18_07,17-Sep-2017,14-Oct-2017,28,Emirates Airline,0.0974124
17/18_07,17-Sep-2017,14-Oct-2017,28,Overground,15.59906054
17/18_07,17-Sep-2017,14-Oct-2017,28,TfL Rail,3.838819483
17/18_07,17-Sep-2017,14-Oct-2017,28,Tram,2.535750337
17/18_07,17-Sep-2017,14-Oct-2017,28,Underground,108.6015954
17/18_08,15-Oct-2017,11-Nov-2017,28,Bus,178.097614
17/18_08,15-Oct-2017,11-Nov-2017,28,DLR,9.898290424
17/18_08,15-Oct-2017,11-Nov-2017,28,Emirates Airline,0.112178
17/18_08,15-Oct-2017,11-Nov-2017,28,Overground,15.44275651
17/18_08,15-Oct-2017,11-Nov-2017,28,TfL Rail,3.734557827
17/18_08,15-Oct-2017,11-Nov-2017,28,Tram,2.323729408
17/18_08,15-Oct-2017,11-Nov-2017,28,Underground,110.5681302
17/18_09,12-Nov-2017,09-Dec-2017,28,Bus,183.7709394
17/18_09,12-Nov-2017,09-Dec-2017,28,DLR,9.809116879
17/18_09,12-Nov-2017,09-Dec-2017,28,Emirates Airline,0.075648
17/18_09,12-Nov-2017,09-Dec-2017,28,Overground,15.51043386
17/18_09,12-Nov-2017,09-Dec-2017,28,TfL Rail,3.878285941
17/18_09,12-Nov-2017,09-Dec-2017,28,Tram,2.434063255
17/18_09,12-Nov-2017,09-Dec-2017,28,Underground,115.0932292
17/18_10,10-Dec-2017,06-Jan-2018,28,Bus,145.0617339
17/18_10,10-Dec-2017,06-Jan-2018,28,DLR,7.418822429
17/18_10,10-Dec-2017,06-Jan-2018,28,Emirates Airline,0.064841
17/18_10,10-Dec-2017,06-Jan-2018,28,Overground,11.55572814
17/18_10,10-Dec-2017,06-Jan-2018,28,TfL Rail,2.872382665
17/18_10,10-Dec-2017,06-Jan-2018,28,Tram,1.938765422
17/18_10,10-Dec-2017,06-Jan-2018,28,Underground,87.68798117
17/18_11,07-Jan-2018,03-Feb-2018,28,Bus,175.2207321
17/18_11,07-Jan-2018,03-Feb-2018,28,DLR,9.271169308
17/18_11,07-Jan-2018,03-Feb-2018,28,Emirates Airline,0.065853
17/18_11,07-Jan-2018,03-Feb-2018,28,Overground,14.82053681
17/18_11,07-Jan-2018,03-Feb-2018,28,TfL Rail,3.676614535
17/18_11,07-Jan-2018,03-Feb-2018,28,Tram,2.241396561
17/18_11,07-Jan-2018,03-Feb-2018,28,Underground,105.4634096
17/18_12,04-Feb-2018,03-Mar-2018,28,Bus,168.6537267
17/18_12,04-Feb-2018,03-Mar-2018,28,DLR,9.260214718
17/18_12,04-Feb-2018,03-Mar-2018,28,Emirates Airline,0.091732
17/18_12,04-Feb-2018,03-Mar-2018,28,Overground,14.13058085
17/18_12,04-Feb-2018,03-Mar-2018,28,TfL Rail,3.379773701
17/18_12,04-Feb-2018,03-Mar-2018,28,Tram,2.165873986
17/18_12,04-Feb-2018,03-Mar-2018,28,Underground,105.2517584
17/18_13,04-Mar-2018,31-Mar-2018,28,Bus,176.4983813
17/18_13,04-Mar-2018,31-Mar-2018,28,DLR,8.689610549
17/18_13,04-Mar-2018,31-Mar-2018,28,Emirates Airline,0.055481
17/18_13,04-Mar-2018,31-Mar-2018,28,Overground,15.0901503
17/18_13,04-Mar-2018,31-Mar-2018,28,TfL Rail,3.306615457
17/18_13,04-Mar-2018,31-Mar-2018,28,Tram,2.181508916
17/18_13,04-Mar-2018,31-Mar-2018,28,Underground,105.3065351
18/19_01,01-Apr-2018,28-Apr-2018,28,Bus,165.8652481
18/19_01,01-Apr-2018,28-Apr-2018,28,DLR,9.400587246
18/19_01,01-Apr-2018,28-Apr-2018,28,Emirates Airline,0.120445
18/19_01,01-Apr-2018,28-Apr-2018,28,Overground,14.68761425
18/19_01,01-Apr-2018,28-Apr-2018,28,TfL Rail,3.546085812
18/19_01,01-Apr-2018,28-Apr-2018,28,Tram,1.930794131
18/19_01,01-Apr-2018,28-Apr-2018,28,Underground,103.5108205
18/19_02,29-Apr-2018,26-May-2018,28,Bus,179.6128231
18/19_02,29-Apr-2018,26-May-2018,28,DLR,9.744282812
18/19_02,29-Apr-2018,26-May-2018,28,Emirates Airline,0.112407
18/19_02,29-Apr-2018,26-May-2018,28,Overground,14.41798508
18/19_02,29-Apr-2018,26-May-2018,28,TfL Rail,3.67820478
18/19_02,29-Apr-2018,26-May-2018,28,Tram,2.347233824
18/19_02,29-Apr-2018,26-May-2018,28,Underground,105.5676361
18/19_03,27-May-2018,23-Jun-2018,28,Bus,173.8886094
18/19_03,27-May-2018,23-Jun-2018,28,DLR,9.208412079
18/19_03,27-May-2018,23-Jun-2018,28,Emirates Airline,0.111652
18/19_03,27-May-2018,23-Jun-2018,28,Overground,14.25590317
18/19_03,27-May-2018,23-Jun-2018,28,TfL Rail,4.167131236
18/19_03,27-May-2018,23-Jun-2018,28,Tram,2.271671918
18/19_03,27-May-2018,23-Jun-2018,28,Underground,104.4082162
18/19_04,24-Jun-2018,21-Jul-2018,28,Bus,177.7558703
18/19_04,24-Jun-2018,21-Jul-2018,28,DLR,9.640790044
18/19_04,24-Jun-2018,21-Jul-2018,28,Emirates Airline,0.118382
18/19_04,24-Jun-2018,21-Jul-2018,28,Overground,14.83663807
18/19_04,24-Jun-2018,21-Jul-2018,28,TfL Rail,4.478725836
18/19_04,24-Jun-2018,21-Jul-2018,28,Tram,2.357244124
18/19_04,24-Jun-2018,21-Jul-2018,28,Underground,109.0412796
18/19_05,22-Jul-2018,18-Aug-2018,28,Bus,151.5015641
18/19_05,22-Jul-2018,18-Aug-2018,28,DLR,8.959368206
18/19_05,22-Jul-2018,18-Aug-2018,28,Emirates Airline,0.156557
18/19_05,22-Jul-2018,18-Aug-2018,28,Overground,14.04167186
18/19_05,22-Jul-2018,18-Aug-2018,28,TfL Rail,4.104271931
18/19_05,22-Jul-2018,18-Aug-2018,28,Tram,2.063891481
18/19_05,22-Jul-2018,18-Aug-2018,28,Underground,100.3651244
18/19_06,19-Aug-2018,15-Sep-2018,28,Bus,162.1282351
18/19_06,19-Aug-2018,15-Sep-2018,28,DLR,8.642018964
18/19_06,19-Aug-2018,15-Sep-2018,28,Emirates Airline,0.123294
18/19_06,19-Aug-2018,15-Sep-2018,28,Overground,14.14925828
18/19_06,19-Aug-2018,15-Sep-2018,28,TfL Rail,4.140986788
18/19_06,19-Aug-2018,15-Sep-2018,28,Tram,2.205294413
18/19_06,19-Aug-2018,15-Sep-2018,28,Underground,97.48483729
18/19_07,16-Sep-2018,13-Oct-2018,28,Bus,183.7250794
18/19_07,16-Sep-2018,13-Oct-2018,28,DLR,9.597917439
18/19_07,16-Sep-2018,13-Oct-2018,28,Emirates Airline,0.089514
18/19_07,16-Sep-2018,13-Oct-2018,28,Overground,15.8087653
18/19_07,16-Sep-2018,13-Oct-2018,28,TfL Rail,4.722366976
18/19_07,16-Sep-2018,13-Oct-2018,28,Tram,2.397660726
18/19_07,16-Sep-2018,13-Oct-2018,28,Underground,109.8519982
18/19_08,14-Oct-2018,10-Nov-2018,28,Bus,175.1653687
18/19_08,14-Oct-2018,10-Nov-2018,28,DLR,10.1320108
18/19_08,14-Oct-2018,10-Nov-2018,28,Emirates Airline,0.124189
18/19_08,14-Oct-2018,10-Nov-2018,28,Overground,15.63294442
18/19_08,14-Oct-2018,10-Nov-2018,28,TfL Rail,4.684184207
18/19_08,14-Oct-2018,10-Nov-2018,28,Tram,2.321038206
18/19_08,14-Oct-2018,10-Nov-2018,28,Underground,112.7107538
18/19_09,11-Nov-2018,08-Dec-2018,28,Bus,180.5210914
18/19_09,11-Nov-2018,08-Dec-2018,28,DLR,9.93361185
18/19_09,11-Nov-2018,08-Dec-2018,28,Emirates Airline,0.072416
18/19_09,11-Nov-2018,08-Dec-2018,28,Overground,15.59287265
18/19_09,11-Nov-2018,08-Dec-2018,28,TfL Rail,4.62602119
18/19_09,11-Nov-2018,08-Dec-2018,28,Tram,2.35507492
18/19_09,11-Nov-2018,08-Dec-2018,28,Underground,118.222383
18/19_10,09-Dec-2018,05-Jan-2019,28,Bus,144.857876
18/19_10,09-Dec-2018,05-Jan-2019,28,DLR,7.54857238
18/19_10,09-Dec-2018,05-Jan-2019,28,Emirates Airline,0.090213
18/19_10,09-Dec-2018,05-Jan-2019,28,Overground,11.58278136
18/19_10,09-Dec-2018,05-Jan-2019,28,TfL Rail,3.859436726
18/19_10,09-Dec-2018,05-Jan-2019,28,Tram,1.855491815
18/19_10,09-Dec-2018,05-Jan-2019,28,Underground,91.8552866
18/19_11,06-Jan-2019,02-Feb-2019,28,Bus,171.3353323
18/19_11,06-Jan-2019,02-Feb-2019,28,DLR,9.318522164
18/19_11,06-Jan-2019,02-Feb-2019,28,Emirates Airline,0.063434
18/19_11,06-Jan-2019,02-Feb-2019,28,Overground,14.47152417
18/19_11,06-Jan-2019,02-Feb-2019,28,TfL Rail,4.56039029
18/19_11,06-Jan-2019,02-Feb-2019,28,Tram,2.221696164
18/19_11,06-Jan-2019,02-Feb-2019,28,Underground,106.7303206
18/19_12,03-Feb-2019,02-Mar-2019,28,Bus,171.3055776
18/19_12,03-Feb-2019,02-Mar-2019,28,DLR,9.7321505
18/19_12,03-Feb-2019,02-Mar-2019,28,Emirates Airline,0.098609
18/19_12,03-Feb-2019,02-Mar-2019,28,Overground,14.40872535
18/19_12,03-Feb-2019,02-Mar-2019,28,TfL Rail,4.397425641
18/19_12,03-Feb-2019,02-Mar-2019,28,Tram,2.17577707
18/19_12,03-Feb-2019,02-Mar-2019,28,Underground,110.8092361
18/19_13,03-Mar-2019,31-Mar-2019,29,Bus,182.7394455
18/19_13,03-Mar-2019,31-Mar-2019,29,DLR,10.024529
18/19_13,03-Mar-2019,31-Mar-2019,29,Emirates Airline,0.064983
18/19_13,03-Mar-2019,31-Mar-2019,29,Overground,15.67047415
18/19_13,03-Mar-2019,31-Mar-2019,29,TfL Rail,4.347751854
18/19_13,03-Mar-2019,31-Mar-2019,29,Tram,2.1872738
18/19_13,03-Mar-2019,31-Mar-2019,29,Underground,114.0837246
19/20_01,01-Apr-2019,27-Apr-2019,28,Bus,156.63758
19/20_01,01-Apr-2019,27-Apr-2019,28,DLR,8.87420258
19/20_01,01-Apr-2019,27-Apr-2019,28,Emirates Airline,0.113705
19/20_01,01-Apr-2019,27-Apr-2019,28,Overground,13.88291925
19/20_01,01-Apr-2019,27-Apr-2019,28,TfL Rail,4.323124821
19/20_01,01-Apr-2019,27-Apr-2019,28,Tram,1.974102172
19/20_01,01-Apr-2019,27-Apr-2019,28,Underground,101.153075
19/20_02,28-Apr-2019,25-May-2019,28,Bus,175.2471373
19/20_02,28-Apr-2019,25-May-2019,28,DLR,9.735711854
19/20_02,28-Apr-2019,25-May-2019,28,Emirates Airline,0.101827
19/20_02,28-Apr-2019,25-May-2019,28,Overground,14.15696308
19/20_02,28-Apr-2019,25-May-2019,28,TfL Rail,4.47809398
19/20_02,28-Apr-2019,25-May-2019,28,Tram,2.159410313
19/20_02,28-Apr-2019,25-May-2019,28,Underground,106.1100313
19/20_03,26-May-2019,22-Jun-2019,28,Bus,171.3800179
19/20_03,26-May-2019,22-Jun-2019,28,DLR,9.299004831
19/20_03,26-May-2019,22-Jun-2019,28,Emirates Airline,0.111004
19/20_03,26-May-2019,22-Jun-2019,28,Overground,13.79133005
19/20_03,26-May-2019,22-Jun-2019,28,TfL Rail,4.385749612
19/20_03,26-May-2019,22-Jun-2019,28,Tram,2.229806879
19/20_03,26-May-2019,22-Jun-2019,28,Underground,107.9687162
19/20_04,23-Jun-2019,20-Jul-2019,28,Bus,176.9586057
19/20_04,23-Jun-2019,20-Jul-2019,28,DLR,9.638052587
19/20_04,23-Jun-2019,20-Jul-2019,28,Emirates Airline,0.111299
19/20_04,23-Jun-2019,20-Jul-2019,28,Overground,14.83199116
19/20_04,23-Jun-2019,20-Jul-2019,28,TfL Rail,4.628816499
19/20_04,23-Jun-2019,20-Jul-2019,28,Tram,2.318362493
19/20_04,23-Jun-2019,20-Jul-2019,28,Underground,111.7450324
19/20_05,21-Jul-2019,17-Aug-2019,28,Bus,149.8232367
19/20_05,21-Jul-2019,17-Aug-2019,28,DLR,9.149119986
19/20_05,21-Jul-2019,17-Aug-2019,28,Emirates Airline,0.140624
19/20_05,21-Jul-2019,17-Aug-2019,28,Overground,12.94871815
19/20_05,21-Jul-2019,17-Aug-2019,28,TfL Rail,4.281006498
19/20_05,21-Jul-2019,17-Aug-2019,28,Tram,2.006081421
19/20_05,21-Jul-2019,17-Aug-2019,28,Underground,102.9660385
19/20_06,18-Aug-2019,14-Sep-2019,28,Bus,159.7781831
19/20_06,18-Aug-2019,14-Sep-2019,28,DLR,8.734402474
19/20_06,18-Aug-2019,14-Sep-2019,28,Emirates Airline,0.132138
19/20_06,18-Aug-2019,14-Sep-2019,28,Overground,13.52311989
19/20_06,18-Aug-2019,14-Sep-2019,28,TfL Rail,4.260005959
19/20_06,18-Aug-2019,14-Sep-2019,28,Tram,1.647323423
19/20_06,18-Aug-2019,14-Sep-2019,28,Underground,99.39229195
19/20_07,15-Sep-2019,12-Oct-2019,28,Bus,179.3092965
19/20_07,15-Sep-2019,12-Oct-2019,28,DLR,9.532690637
19/20_07,15-Sep-2019,12-Oct-2019,28,Emirates Airline,0.08751
19/20_07,15-Sep-2019,12-Oct-2019,28,Overground,17.82063199
19/20_07,15-Sep-2019,12-Oct-2019,28,TfL Rail,4.861940962
19/20_07,15-Sep-2019,12-Oct-2019,28,Tram,2.307972909
19/20_07,15-Sep-2019,12-Oct-2019,28,Underground,112.2414217
19/20_08,13-Oct-2019,09-Nov-2019,28,Bus,168.9086314
19/20_08,13-Oct-2019,09-Nov-2019,28,DLR,9.952614599
19/20_08,13-Oct-2019,09-Nov-2019,28,Emirates Airline,0.104711
19/20_08,13-Oct-2019,09-Nov-2019,28,Overground,17.1082871
19/20_08,13-Oct-2019,09-Nov-2019,28,TfL Rail,4.895068741
19/20_08,13-Oct-2019,09-Nov-2019,28,Tram,2.201839772
